"Year","Crop","Area"
1965,"Berries nes",NA
1965,"Cabbages and other brassicas",25
1965,"Carrots and turnips",10
1965,"Cashew nuts, with shell",230
1965,"Cassava",240
1965,"Castor oil seed",405
1965,"Cauliflowers and broccoli",50
1965,"Cherries",1.35
1965,"Chick peas",8870
1965,"Chillies and peppers, dry",634
1965,"Chillies and peppers, green",3.2
1965,"Cocoa, beans",NA
1965,"Coconuts",884
1965,"Coffee, green",122
1965,"Cucumbers and gherkins",7.2
1965,"Eggplants (aubergines)",175
1965,"Figs",0.9
1965,"Fruit, citrus nes",2.5
1965,"Fruit, fresh nes",155
1965,"Fruit, stone nes",NA
1965,"Fruit, tropical fresh nes",237
1965,"Garlic",30
1965,"Ginger",23
1965,"Grapefruit (inc. pomelos)",1.5
1965,"Grapes",6.2
1965,"Groundnuts",7698
1965,"Jute",758.4
1965,"Lemons and limes",50
1965,"Lentils",840.1
1965,"Lettuce and chicory",62
1965,"Linseed",2042
1965,"Maize",4799
1965,"Mangoes, mangosteens, guavas",850
1965,"Melons, other (inc.cantaloupes)",10.9
1965,"Millet",19225.008
1965,"Nutmeg, mace and cardamoms",57
1965,"Oilseeds nes",522
1965,"Okra",180
1965,"Onions, dry",125
1965,"Oranges",59
1965,"Papayas",6
1965,"Peaches and nectarines",11
1965,"Pears",7.5
1965,"Peas, dry",1121.8
1965,"Peas, green",67
1965,"Pepper (piper spp.)",102
1965,"Pigeon peas",2578
1965,"Pineapples",25.7
1965,"Plums and sloes",3.5
1965,"Potatoes",429
1965,"Pulses, nes",3107.1
1965,"Pumpkins, squash and gourds",150
1965,"Rapeseed",2910
1965,"Rice",35470
1965,"Rubber, natural",82
1965,"Safflower seed",460
1965,"Seed cotton",7943
1965,"Sesame seed",2509
1965,"Sorghum",17679.008
1965,"Soybeans",23
1965,"Spices, nes",261
1965,"Sugar cane",2602.9
1965,"Sweet potatoes",155
1965,"Tea",345.256
1965,"Tobacco, unmanufactured",394
1965,"Tomatoes",57
1965,"Vegetables, fresh nes",2105
1965,"Walnuts, with shell",16
1965,"Watermelons",7.6
1965,"Wheat",13422
1966,"Anise, badian, fennel, coriander",97
1966,"Apples",23.5
1966,"Apricots",3.1
1966,"Areca nuts",137
1966,"Bananas",209
1966,"Barley",2640
1966,"Bastfibres, other",501.7
1966,"Beans, dry",7247.4
1966,"Beans, green",87
1966,"Berries nes",NA
1966,"Cabbages and other brassicas",27
1966,"Carrots and turnips",10.45
1966,"Cashew nuts, with shell",241.314
1966,"Cassava",271
1966,"Castor oil seed",400.9
1966,"Cauliflowers and broccoli",60
1966,"Cherries",1.3
1966,"Chick peas",8015
1966,"Chillies and peppers, dry",721
1966,"Chillies and peppers, green",3.2
1966,"Cocoa, beans",NA
1966,"Coconuts",893
1966,"Coffee, green",125
1966,"Cucumbers and gherkins",7.5
1966,"Eggplants (aubergines)",180
1966,"Figs",0.9
1966,"Fruit, citrus nes",2.5
1966,"Fruit, fresh nes",165
1966,"Fruit, stone nes",NA
1966,"Fruit, tropical fresh nes",240
1966,"Garlic",27
1966,"Ginger",23
1966,"Grapefruit (inc. pomelos)",1.5
1966,"Grapes",6.8
1966,"Groundnuts",7299
1966,"Jute",796.8
1966,"Lemons and limes",50
1966,"Lentils",843.4
1966,"Lettuce and chicory",64
1966,"Linseed",1723
1966,"Maize",5073.8
1966,"Mangoes, mangosteens, guavas",850
1966,"Melons, other (inc.cantaloupes)",11.5
1966,"Millet",19139.008
1966,"Nutmeg, mace and cardamoms",75
1966,"Oilseeds nes",473
1966,"Okra",185
1966,"Onions, dry",125
1966,"Oranges",70
1966,"Papayas",8
1966,"Peaches and nectarines",10.5
1966,"Pears",7.8
1966,"Peas, dry",1109.3
1966,"Peas, green",69
1966,"Pepper (piper spp.)",121
1966,"Pigeon peas",2556
1966,"Pineapples",31.3
1966,"Plums and sloes",3.7
1966,"Potatoes",479
1966,"Pulses, nes",2562.4
1966,"Pumpkins, squash and gourds",160
1966,"Rapeseed",2913
1966,"Rice",35251.008
1966,"Rubber, natural",88
1966,"Safflower seed",462
1966,"Seed cotton",7834
1966,"Sesame seed",2793.4
1966,"Sorghum",18054
1966,"Soybeans",23
1966,"Spices, nes",258
1966,"Sugar cane",2836
1966,"Sweet potatoes",179
1966,"Tea",347.653
1966,"Tobacco, unmanufactured",377
1966,"Tomatoes",58
1966,"Vegetables, fresh nes",2115
1966,"Walnuts, with shell",18
1966,"Watermelons",7.9
1966,"Wheat",12572
1967,"Anise, badian, fennel, coriander",97
1967,"Apples",30.6
1967,"Apricots",3.2
1967,"Areca nuts",142
1967,"Bananas",208
1967,"Barley",2824.8
1967,"Bastfibres, other",494.6
1967,"Beans, dry",7548.2
1967,"Beans, green",90
1967,"Berries nes",NA
1967,"Cabbages and other brassicas",30
1967,"Carrots and turnips",10.9
1967,"Cashew nuts, with shell",249.024
1967,"Cassava",290
1967,"Castor oil seed",439.4
1967,"Cauliflowers and broccoli",60
1967,"Cherries",1.3
1967,"Chick peas",8003.2
1967,"Chillies and peppers, dry",788
1967,"Chillies and peppers, green",3.25
1967,"Cocoa, beans",NA
1967,"Coconuts",923.9
1967,"Coffee, green",126
1967,"Cucumbers and gherkins",8
1967,"Eggplants (aubergines)",190
1967,"Figs",0.9
1967,"Fruit, citrus nes",2.5
1967,"Fruit, fresh nes",170
1967,"Fruit, stone nes",NA
1967,"Fruit, tropical fresh nes",245
1967,"Garlic",27
1967,"Ginger",21
1967,"Grapefruit (inc. pomelos)",1.5
1967,"Grapes",7.1
1967,"Groundnuts",7552.7
1967,"Jute",880.1
1967,"Lemons and limes",52
1967,"Lentils",829.1
1967,"Lettuce and chicory",65
1967,"Linseed",1495.4
1967,"Maize",5583.4
1967,"Mangoes, mangosteens, guavas",862
1967,"Melons, other (inc.cantaloupes)",12
1967,"Millet",19955.904
1967,"Nutmeg, mace and cardamoms",73
1967,"Oilseeds nes",468
1967,"Okra",190
1967,"Onions, dry",150
1967,"Oranges",75
1967,"Papayas",8
1967,"Peaches and nectarines",11
